A.J. Allmendinger~20~62~58~58~58~76~70~0~0~0~0~0~
Adam Petty Jr~-1~-63~-67~-67~-67~-67~70~0~0~0~0~0~
Alex Bowman~9~3~7~3~3~1~70~0~0~0~0~0~
Alex Kennedy~10~-10~-10~-10~-10~-10~70~0~0~0~0~0~
Alon Day~10~-10~-10~-10~-10~-10~70~0~0~0~0~0~
Andrew Ranger~15~26~26~26~28~41~70~0~0~0~0~0~
Andy Lally~27~68~68~68~68~85~70~0~0~0~0~0~
Andy Pilgrim~45~38~38~38~38~38~70~0~0~0~0~0~
Andy Seuss~15~21~21~21~21~27~70~0~0~0~0~0~
Angela Ruch~19~41~36~36~36~36~70~0~0~0~0~0~
Anthony Alfredo~3~69~69~69~69~69~70~0~0~0~0~0~
Anthony Lazzaro~38~61~61~61~61~61~70~0~0~0~0~0~
Aric Almirola~18~64~57~57~57~57~70~0~0~0~0~0~
Ashton Lewis Jr~30~71~71~71~71~71~70~0~0~0~0~0~
Austin Cameron~25~60~60~60~60~60~70~0~0~0~0~0~
Austin Cindric~3~-32~-29~-29~-29~-17~70~0~0~0~0~0~
Austin Dillon~12~22~18~15~15~15~70~0~0~0~0~0~
Austin Hill~8~-6~-6~-6~-6~-7~70~0~0~0~0~0~
Austin Petty~20~61~58~58~58~55~70~0~0~0~0~0~
Austin Theriault~8~-21~-21~-21~-21~-19~70~0~0~0~0~0~
Austin Wayne Self~6~-29~-29~-29~-29~-29~70~0~0~0~0~0~
B.J. McLeod~19~45~45~45~45~45~70~0~0~0~0~0~
Barry Bodine~24~59~59~59~59~59~70~0~0~0~0~0~
Bayley Currey~6~-37~-38~-38~-38~-38~70~0~0~0~0~0~
Ben Rhodes~5~-30~-28~-30~-30~-29~70~0~0~0~0~0~
Bill Lester~41~56~56~56~56~56~70~0~0~0~0~0~
Billy Johnson~15~16~16~16~16~31~70~0~0~0~0~0~
Blaise Alexander~26~78~78~78~78~78~70~0~0~0~0~0~
Blake Jones~5~-41~-41~-41~-41~-41~70~0~0~0~0~0~
Blake Koch~16~35~35~38~35~35~70~0~0~0~0~0~
Bobby Hillin, Jr.~37~62~62~62~62~62~70~0~1~8~43~334~
Bobby Kennedy~9~-23~-23~-23~-23~-23~70~0~0~0~0~0~
Boris Said~39~78~70~70~70~90~70~0~0~0~0~3~
Brad Coleman~12~3~3~3~3~3~70~0~0~0~0~0~
Brad Keselowski~18~61~61~58~59~58~70~0~0~0~0~0~
Brandon Ash~24~57~57~57~57~62~70~0~0~0~0~0~
Brandon Brown~8~-13~-13~-13~-13~-13~70~0~0~0~0~0~
Brandon Jones~5~-29~-28~-27~-29~-29~70~0~0~0~0~0~
